name,alternate_name,alternate_name_cite,petrographic_details,petrographic_details_cite,age,age_cite,appearance,appearance_cite,poisson_ratio_low,poisson_ratio_low_citation,poisson_ratio_high,poisson_ratio_high_citation,absorption,absorption_cite,quarry_location,quarry_location_cite,archaeological_sources,archaeological_sources_cite,primary_sources,primary_sources_cite,secondary_sources,secondary_sources_cite,shapefile,shapefile_cite,notes,notes_cite,beginning_date,beginning_date_cite,ending_date,ending_date_cite,dates_of_use,dates_of_use_cite,density_avg,density_avg_cite,density_low,density_low_cite,density_high,density_high_cite,elastic_modulus_average,elastic_modulus_average_cite,elastic_modulus_low,elastic_modulus_low_cite,elastic_modulus_high,elastic_modulus_high_cite,image,image_cite,rupture_modulus_average,rupture_modulus_average_cite,rupture_modulus_low,rupture_modulus_low_cite,rupture_modulus_high,rupture_modulus_high_cite,compressive_strength_average,compressive_strength_average_cite,compressive_strength_low,compressive_strength_low_cite,compressive_strength_high,compressive_strength_high_cite
Peperino di Albano,"lapis albanus, Peperino di Marino; Albanae","9,10",colata di fango piroclastica; quarried from a volcanic-debris flow deposit,9; 32,"36,000 years old, +/- 1000 ",9,"The term ""peperino"" refers to gray tufi from the Lazio with parts of crystals both white (leucite and analcime) and dark (biotite, pirocene).",33,,,,,2.85,49,"Colli Albani district; from the Crater of Lake Albano, Deposits contained within a close area around eruptive vents; quarried at Castrimoenum, near modern-day Marino, and used locally",9; 32; 14,"Sabatine district,  taken up to 13 km from the Via Tiberina, no longer available because the land has been covered in more recent formations, ""Near Grotta Oscura and northward along Via Tiberina,"" Pyroclastic flows traveled far from their eruptive vents, meaning the rock was widespread and varied from one site to the other, Local use, mostly at Rome",9,"Vitruvius (2.7.1) groups Albanae among the ""soft and yielding"" (molles) stones of Rome [[De Architectura, in 4, 410]]",73; 50,It owes its name to the presence of many small black crystals (pyroxene and biotite) that resemble peppercorns.,203,,,"Composed of fine grain with phillipsite, cabasite, and calcite, including diverse fragments of leucite lava, vulcanic rock, magmatic crystals, white calcari, and more.",33,"Accessible after the construction of the Via Appia, 312 BCE",58,,,used in the late Republic and early Imperial Period,59,1870,33,,,2171,44,,,2942,,14710,,image in folder ,203,,,4.03,49,8.71,,,,16.3,44,40,50
Pietra Gabina,"lapis gabinus; Gabine tufa, sperone;but the latter term should be avoided due to ambiguity","9,10,11",deposito piroclastico idromagmatico; quarried from a pyroclastic surge deposit,9; 32,"c. 260, 000",9,"Dark and greyish. stratified into levels , whose superficial layers erode at different speeds and in different ways; The only stratified Roman tufo",33; 34,,,,,3.13,49,"Colli Albani district; the crater of Castiglione; near the old city of Gabi; Deposits contained within a close area around eruptive vents; local use, mostly at Rome",9; 36; 33; 32; 14,"Ponte Palatino; Base of the Tabularium below the Campdohlio, part of the Cloaca Maxima, base of the tomb of Cecelia Metella, the perimiter wall of the Augustan Forum and many praefurnia of the Roman baths",62; 33,Strabo Geography 5.3.10-11,74,"Lapis Gabinus is a durable volcanic stone originally exploited and employed in construction at the ancient Latin city of Gabii. From the second century BCE it was also exported to Rome, where it appears in a series of important monuments, including the Tabularium and the Forum of Augustus. It is a lithified hydromagmatic-surge deposit erupted about 285,000 years ago by the Castiglione Crater, 20 km east of Rome, and is similar in appearance to other local rocks that geologists and archeologists often call “peperino”",157,,,"Coherent and compact, with good physico-mechanical characteristics. Known among the Romans for being resistant to fire;Coarse-grained levels feature dark gray lava fragments and crystals, while finer layers contain clay, pumice, and accretionary lapilli",33;39,,,,,Late Republic and early Imperial Period,59,1870,45,,,,,,,2942,,14710,,image in folder ,204,,,8.97,49,10.93,,40,44,,,,
Tufo del Palatino,"Granular grey tufa, Peperino della Via Flaminia, Peperino Grigio; Tufo pisolitico, tufo granulare grigio, cappellaccio; but the latter should be avoided for ambiguity","9,10,11","Colata piroclastica idromagmatica; quarried from ignimbrite, an unstructured deposit produced by pyroclastic flow",9; 32,"528, 000 years old, +/- 1000 ",9,"Yellowish-grey with some green tones. Compact structure, fine granulometry of components, superficially inconsistent, . Composed of a heterogeneous association of volcanic fragments and sediment, immersed in a partly zeolite and often argillated glassy matrix [[1, 287]]",35,,,,,4.47,49,Colli Albani district; Base of the Campidoglio Base of the Palatino; Found at the bases of hills; Aventine; used at Rome,9; 35; 51; 14,"Cut-stone podia of the Regia (6th and 7th centuries BCE), Auguraculum (6th century BCE), Temple of Juno Moneta (345 BCE);  Still found in Servian walls, early Forum structures, Temple of Magna Mater sul Palatino, Capitoline Jove's temple (510 BC), Temple of S. Omobono (500 BC), Temple of Saturn (501-493 BC), foundations of lapis niger (450-390 BC);   Teatro Marcello [[1, 278]], temples of Numa Pompilio (715-673 BC);  Used in 7km-long wall built c. 578-535 AD;  used often in Monarchic period",40; 35; 63; 62; 64; 51,,,,,,,"soft, early building material; Of ""modest"" mechanical quality and inconsistent; discrete mechanical strength, surface quickly dries and crumbles when exposed to air and water, with drastic dimunition of mechanical characteristics compared to waterlogged samples in the lab; Not to be confused with Grottarossa Pyroclastic Sequence subunit a, although both have been referred to as cappellaccio. this rock has more lava fragments, no sanidine, and minimal biotite; while the Peperino della Flaminia variety was much stronger than other varieties, there is no evidence of its use in construction",71; 62; 35; 37; 72,7th century BCE,39,Use continued until 390 CE when it was substituted by rock with stronger mechanical charactaristics and better aesthetics,35,Mostly used during the seventh through fifth centuries BCE,39,1890,35,122,44,,,,,2942,,14710,,image in folder ,205,9.09,49,,,,,43.4,44,,,,
Tufo di Tuscolo,"Sperone, but this ambiguous term should be avoided","9,11",deposito di scorie saldate,9,"c. 355,000",9,Brown-gray. Rich in fragments of lava and crystal,36,,,,,,,"Colli Albani district; Monte Tusculo in the Colli Albani, active until the first century BC.; Deposits contained within a close area around eruptive vents; Used locally, mostly at Rome",9; 36; 32; 14,"Colosseum, Tabularium of the Campidoglio, Church of S. Clemente;Theater of Marcellus (23-11 BCE), reinforced with travertine in the Colosseum ",36; 40,Pliny cites Varro as saying tufo di Tuscolo can be broken up by fire [[Natural History 36.29]],75,"it derives its name from the height of Tusculum, in the Colli Albani, around which the mining activity of this material was concentrated",206,,,"Up to 50% lava fragments; ""The most robust lithic-crystal tuff building stone available in Rome""",39; 45,,,,,Late Republic and early Imperial Period,59,1830,45,,,,,,,2942,,14710,,image in folder ,206,,,,,,,36.7,44,,,,
Tufo Giallo della Via Tiberina,"lapis ruber, lapis pallens, Tufo giallo di Grotta Oscura; tufo giallo porosa","9, 10","Colata piroclastica; quarried from ignimbrite, an unstructured deposit produced by pyroclastic flow",9; 32,"548,000 years old +/- 4,000 (upper eruptive subunits), 561,000 +/- 4,000 years old (lower eruptive subunits)",10,"Yellow, with some dark grey. Made of yellow pumice, including carbon and more; Glassy and porous, ""poorly to moderately cemented""",291; 413,,,,,3.81,49,"Sabatine district;taken up to 13 km from the Via Tiberina, no longer available because the land has been covered in more recent formations.;""Near Grotta Oscura and northward along Via Tiberina""; Pyroclastic flows traveled far from their eruptive vents, meaning the rock was widespread and varied from one site to the other.; Local use, mostly at Rome",9; 38; 50; 41; 14,"Many monuments in the Forum: foundations of Basilica Aemelia, the Tempio Rotondo in the Foro Boario, and the temple of the Magna Mater. It is also present in large quantities in caementa and in opus reticulatum throughout the city; Used as a component of coarse aggregate in concrete during the Imperial Period; in the Colosseum (70-80 CE), Forum of Caesar (54-29 BCE), Pantheon (118-125 CE)",38; 37; 65,"Vitruvius groups ""lapidicinis Pallensibus"" among the ""soft and yielding"" (molles) stones of Rome [[De Architectura 2.7.1, in 4, 410]]; he warns that they are weakened when exposed to salt/frost/rain/heat [[2.7.2]]",73,"a product of the Sabatini Volcanic District outcropping north of Rome, extracted from the Etruscans, it has been used in the structures of important monuments of the Republican and Imperial Rome",207,,,"Notable chemical homogeneity, of 41-52%, famous for the ease with which it can be worked and for its durability.",38,Quarried after Roman conquest of Fidenae and Veio in 426 and 396 BCE,58,,,,,1275,38,1224,46,1520,,,,2942,,14710,,image in folder ,207,,,2.75,49,3.49,49,,,7.6,44,9.8,44
Tufo Giallo di Prima Porta,,,,,"514,000 +/- 3,000 years old",,"Yellow-gray, glassy, ""small, grayish-orange pumice fragments"" ",37,,,,,4.38,49,"Sabatine District; South of the deposits of Tufo Giallo della Via Tiberina, along Via Tiberina and Via Flaminia, as well as at Prima Porta",37,"Not used as dimension stone, but sometimes used in coarse aggregate as part of concrete in the Forum of Caesar ",37,,,important in the stratigraphy of Rome in Colli Albani and Monti Sabatini,208,,,Lots of joints and fractures; consists mostly of chabazite cement with up to 50% glass matrix ,37; 65,,,,,,,1440,44,,,,,,,2942,,14710,,image in folder (2),208; 209,2.59,49,,,,,,,9.8,44,20.4,44
Tufo lionato,"lapis ruber, Tufo litoide Lionato, Tufo dell'Aniene, Tufo di Monteverde;, Anio, lapidicinis Rubris;","9,10","Colata piroclastica; quarried from ignimbrite, an unstructured deposit produced by pyroclastic flow",9; 32,"366,000 years old, +/- 4000",9,"Aniene River varieties: light brown, well consolidated, 12-20% lava with yellowish-brown pumice fragments; varieties south of Rome: light brown to grayish orange, less consolidated, <10% lava, light brown to dark yellowish-orange pumice fragments; Monteverde area varieties: mostly white phillipsite cement, minimal clay, varies in color",40,,,,,3.76,49,"Colli Albani district Found at the tops of hills; On the right bank of the Tiber- what is now Monteverde;  Along the Aniene (Teverone) River, which flows from the Tiber; quarried at Tor Cervara, Settecamini, Salone, and Lunghezza in the 2nd century BCE;  occasionally, in small quantities Tufo Rosso with black spots is found in caves in the area now called Fidene, about 10 KM north of Rome along the Tiber;  Base of the Capitoline Hill; Pyroclastic flows traveled far from their eruptive vents, meaning the rock was widespread and varied from one site to the other.;  Local use, mostly at Rome ",9; 51; 22; 22; 39; 22; 39; 41; 14,"Combined with stronger tuffs and travertine in the 1st century BCE, e.g., tabernae of the Forum of Caesar (42 BCE); Other examples: Roman forum, temples of Numa Pompilio (715-673 BC), portions of the cloaca maxima; Used in Forum: Votive deposit (6th c. BC), Temple of Concord (6th C. BC), Temple of Mars Ultor (2 C. BC), internal wall of Tabularium (78 BC), Tabernae of the Via Sacra (1st C. BC), Horrea Agrippiana (31-27 BC), Basilica Giulia (78-54 BC), the area Largo Torre Argentina; Aniene River varieties rarely used in dimension stone masonry after the Forum of Augustus, 1st century BCE; Coarse aggregate from south of Rome used in Baths of Caracalla (211-216 CE), Colosseum (after 216 CE fire)",45; 62; 47; 66; 40,"Vitruvius groups ""lapicidinis Rubris"" among the ""soft and yielding"" (molles) stones of Rome [[De Architectura 2.7.1, in 4, 410]]; he warns that they are weakened when exposed to salt/frost/rain/heat [[2.7.2]]",73; 50,present in some columns of a sacred area in Torre Argentina,203,,,"higher quality than cappellaccio; Most used tufo in all Roman monuments; Often used in typical rectangular blocks. Irregular content, irregular weight and density. Contains white analcime powder aggregate and also dark lava and light sedimentary rock, occasionally carbonized. Was considered a superior stone for its physico-mechanical characteristics. Carried along the Tiber for miles.",62; 35; 47,,,,,"Early Romans used the weaker, glassy varieties quarried from the Capitoline and Monteverde, while the stronger varieties quarried along the Aniene became prominent during the late 2nd century BCE",45,,,1200,47,1700,44,,,2942,,14710,,image in folder,203,,,,,,,,,15.9,44,29,44
Tufo Rosso a Scorie Nere,"lapis fidenae, Tufo di Fidene, Tufo Rosso Litoide, Fidenates","9,10",colata piroclastica,9,"449,000 years old, +/- 1,000",9,"dark red with black slag; or, light brown with dark gray fragments",41,,,,,,,"Sabatine district; found primarily in the quarries of Fidene about 10 km north of Rome on the Tiber; Covers a vast area. ; Isola Farnese; Castel Giubileo; Prima Porta; Saxa Rubra; local use, mostly at Rome",9; 34; 34; 34; 34; 34; 34; 14,"used in opus quadratum, in the podium of the Tempio della Concordia; podium of the Temple of Juno Moneta (345 BCE) cella walls of temples",34; 65,"Vitruvius groups Fidenates among the ""soft and yielding"" (molles) stones of Rome [[De Architectura 2.7.1, in 4, 410]]; he warns that they are weakened when exposed to salt/frost/rain/heat [[2.7.2]]",73; 50,comes from a pyroclastic flow around the North-East and East near the Tiber Valley,211,,,Low load-bearing strength limited its usefulness in the Late Republic,58,426 BCE,58,210 BCE,34,"First used by the Etruscans, used by the Romans primarily between 390 and 210 BCE, and less frequently until the Imperial period;. Quarried after Roman conquest of Fidenae and Veio in 426 and 396 BCE, but not common in Late Republican buildings.",34,1733.52,34,,,,,,,2942,,14710,,image in folder,210,,,0.97,49,1.72,49,,,,,40,50
alabastri di Constantina,,,alabaster,14,,,,,,,,,,,"Quarried at Ain-Smara, near Constantine, modern Algeria; local and regional use ",14,,,,,"the name ""alabaster"" derives from the Egyptian city of Alabastron, a white stone that due to its particular softness lends itself to be more easily worked marble and therefore is suitable to reproduce on a reduced scale certain ornamental motifs rich in details ",212,,,Several varieties,14,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
alabastro bianco,,,Alabaster,14,,,"Light, gray/white, some fine veins",14,,,,,,,"Eastern Desert of Egypt, Mons Berenicides, NW of Berenike, regional use, Circeo in South Western Lazio, Italy",14,"Sarcophagi and cinerary urns with rich decorations depicting the image of the deceased along with scenes of everyday life, imagining trips to the underworld, and famous episodes of Greek mythology, Etruria",212,,,"white colour results fromabundant fluid inclusions, the light-scattering effects of which cause the calcite to look white and opaque; known in Rome only from small columns",106; 261,,,"Coarse to very coarse compact crystalline calcite, with a little banding",112,beginning of Ptolemaic period; 332 BCE,14; 260,,,Ptolemaic period onward,14,,,,,,,,,,,,,image in folder,212,,,,,,,,,,,,
